Id,Name,Country,City,Latitude,Longitude,Address
2963530000000.0,H tel Moli re,FR,Paris,48.8655293,2.3360102,"19 Rue Molière, 75001 Paris, France, Paris, Île-de-France 75001, FRA"
2963530000000.0,Le A,FR,Paris,48.8723844,2.3088663,"4 Rue d'Artois, 75008 Paris, France, Paris, Île-de-France 75008, FRA"
2989300000000.0,H tel Regina Op ra Grands Boulevards,FR,Paris,48.8708508,2.3515882,"11 Rue de Mazagran, 75010 Paris, France, Paris, Île-de-France 75010, FRA"
3015070000000.0,B Montmartre,FR,Paris,48.883631,2.3257643,"4 Rue Lécluse, 75017 Paris, France, Paris, Île-de-France 75017, FRA"
3066610000000.0,Hotel Elys es Bassano,FR,Paris,48.8689307,2.2974503,"24 Rue de Bassano, 75116 Paris, France, Paris, Île-de-France 75116, FRA"
3066610000000.0,Hotel Carlton s Montmartre,FR,Paris,48.8819068,2.3410005,"11 Rue Lallier, 75009 Paris, France, Paris, Île-de-France 75009, FRA"
3075200000000.0,Mercure Paris Bastille Marais,FR,Paris,48.8571207,2.3805581,"53 Rue Richard Lenoir, 75011 Paris, France, Paris, Île-de-France 75011, FRA"
3083790000000.0,Hotel Vignon,FR,Paris,48.8717146,2.3261812,"23 Rue Vignon, 75008 Paris, France, Paris, Île-de-France 75008, FRA"
3092380000000.0,H tel Duo,FR,Paris,48.8581186,2.3529369,"11 Rue du Temple, 75004 Paris, France, Paris, Île-de-France 75004, FRA"
3126740000000.0,Villa Panth on,FR,Paris,48.8488044,2.3469889,"41 Rue des Écoles, 75005 Paris, France, Paris, Île-de-France 75005, FRA"
3161100000000.0,Best Western Premier Le Swann,FR,Paris,48.8797331,2.3206003,"5 Rue de Naples, 75008 Paris, France, Paris, Île-de-France 75008, FRA"
3204050000000.0,Le Marceau Bastille,FR,Paris,48.8490691,2.3697484,"13 Rue Jules César, 75012 Paris, France, Paris, Île-de-France 75012, FRA"
3229820000000.0,Royal Saint Michel,FR,Paris,48.8528364,2.3440803,"3 Boulevard Saint-Michel, 75005 Paris, France, Paris, Île-de-France 75005, FRA"
3238410000000.0,BoB Hotel by Elegancia,FR,Paris,48.8335233,2.3191194,"30 Rue Pernety, 75014 Paris, France, Paris, Île-de-France 75014, FRA"
3298530000000.0,H tel Etoile Saint Honor by Happyculture,FR,Paris,48.8756508,2.3041568,"214 Rue du Faubourg Saint-Honoré, 75008 Paris, France, Paris, Île-de-France 75008, FRA"
3315710000000.0,Le Littr,FR,Paris,48.8454447,2.3242814,"11 Rue Littré, 75006 Paris, France, Paris, Île-de-France 75006, FRA"
3324300000000.0,Grand H tel Du Palais Royal,FR,Paris,48.8630829,2.3378592,"4 Rue de Valois, 75001 Paris, France, Paris, Île-de-France 75001, FRA"
3358660000000.0,Atala Champs Elys es,FR,Paris,48.8735418,2.302442,"10 Rue Chateaubriand, 75008 Paris, France, Paris, Île-de-France 75008, FRA"
3358660000000.0,Artus Hotel by MH,FR,Paris,48.8535639,2.3360169,"34 Rue de Buci, 75006 Paris, France, Paris, Île-de-France 75006, FRA"
3367250000000.0,Hotel Le Chat Noir,FR,Paris,48.8836255,2.3340538,"68 Boulevard de Clichy, 75018 Paris, France, Paris, Île-de-France 75018, FRA"
3375840000000.0,Hotel Tour d Auvergne Opera,FR,Paris,48.8789432,2.3448623,"10 Rue Louise-Émilie de La Tour d'Auvergne, 75009 Paris, France, Paris, Île-de-France 75009, FRA"
3384430000000.0,First Hotel Paris Tour Eiffel,FR,Paris,48.8475112,2.3022198,"2 Boulevard Garibaldi, 75015 Paris, France, Paris, Île-de-France 75015, FRA"
3410200000000.0,Best Western Premier Faubourg 88,FR,Paris,48.8776756,2.3493159,"88 Rue du Faubourg Poissonnière, 75010 Paris, France, Paris, Île-de-France 75010, FRA"
3427380000000.0,H tel Barri re Le Fouquet s,FR,Paris,48.8710709,2.3013119,"46 Avenue George V, 75008 Paris, France, Paris, Île-de-France 75008, FRA"
