,Id,Name,Country,City,Latitude,Longitude,Adress
68,687195000000.0,Holiday Inn,US,Springfield,40.684914,-74.33085,"304 US-22, Springfield Twp (Union county), NJ 07081, United States, Springfield, NJ 07081, USA"
90,876173000000.0,Greenstay Hotel and Suites,US,Springfield,37.2085,-93.22816,"Springfield, MO 65802, United States, Springfield, MO 65802, USA"
146,1357210000000.0,Holiday Inn Express,US,Springfield,44.083797,-123.03951,"3480 Hutton St, Springfield, OR 97477, United States, Springfield, OR 97477, USA"
182,1717990000000.0,Mimi s Hotel Soho,GB,London,51.5140329,-0.1320651,"56 Frith Street, London, W1D 3JG, United Kingdom, London, England W1D 3JG, GBR"
183,1717990000000.0,Acta Atrium Palace,ES,Barcelona,41.390913,2.1706981,"Gran Via de les Corts Catalanes, 656, 08010 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08010, ESP"
184,1726580000000.0,Hotel Galileo,IT,Milan,45.4642651,9.1960569,"Corso Europa, 9, 20122 Milano MI, Italia, Milano, Lombardia 20122, ITA"
185,1735170000000.0,Hotel Square,FR,Paris,48.851589,2.2777274,"3 Rue de Boulainvilliers, 75016 Paris, France, Paris, Île-de-France 75016, FRA"
186,1743760000000.0,Sydney House Chelsea,GB,London,51.4910062,-0.1717691,"23 Sydney Street, London, SW3 6PU, United Kingdom, London, England SW3 6PU, GBR"
187,1752350000000.0,Andreola Central Hotel,IT,Milan,45.4836517,9.2078581,"Via Luigi Settembrini, 37, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA"
188,1760940000000.0,Fifty Four Boutique Hotel,GB,London,51.4963008,-0.1796853,"55 Queen's Gate, London, SW7 5JW, United Kingdom, London, England SW7 5JW, GBR"
189,1769530000000.0,Doubletree by Hilton London Kensington,GB,London,51.4925138,-0.1787917,"100 Queen's Gate, London, SW7 5AG, United Kingdom, London, England SW7 5AG, GBR"
190,1769530000000.0,Sansi Pedralbes,ES,Barcelona,41.39367,2.1115418,"Avinguda de Pearson, 1, 08034 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08034, ESP"
191,1778120000000.0,Kube Hotel Ice Bar,FR,Paris,48.88657,2.3588332,"3 Passage Ruelle, 75018 Paris, France, Paris, Île-de-France 75018, FRA"
192,1778120000000.0,Baglioni Hotel London The Leading Hotels of the World,GB,London,51.5017224,-0.1846243,"58 Kensington Road, London, W8 5, United Kingdom, London, England W8 5, GBR"
193,1778120000000.0,Atahotel Contessa Jolanda,IT,Milan,45.4984161,9.1904375,"Via Gioacchino Murat, 17, 20159 Milano MI, Italia, Milano, Lombardia 20159, ITA"
194,1786710000000.0,Starhotels Ritz,IT,Milan,45.4779041,9.2094965,"Via Lazzaro Spallanzani, 40, 20129 Milano MI, Italia, Milano, Lombardia 20129, ITA"
195,1795300000000.0,Hampshire Hotel Rembrandt Square Amsterdam,NL,Amsterdam,52.3663466,4.8985764,"Amstelstraat 17, 1017 DA Amsterdam, Nederland, Amsterdam, Noord-Holland 1017 DA, NLD"
196,1803890000000.0,Karma Sanctum Soho Hotel,GB,London,51.5116049,-0.1383145,"20 Warwick Street, London, W1B 5NF, United Kingdom, London, England W1B 5NF, GBR"
197,1803890000000.0,pentahotel Vienna,AT,Vienna,48.1899743,16.3567007,"Margaretenstraße 92, 1050 Wien, Österreich, Wien, Wien 1050, AUT"
198,1812480000000.0,H tel Regina,FR,Paris,48.8637503,2.3320406,"Place des Pyramides, 75001 Paris, France, Paris, Île-de-France 75001, FRA"
199,1812480000000.0,Hotel Stefanie,AT,Vienna,48.2142766,16.3801779,"Taborstraße 10, 1020 Wien, Österreich, Wien, Wien 1020, AUT"
200,1821070000000.0,Hotel Amadeus,AT,Vienna,48.2104468,16.3715781,"Wildpretmarkt 5, 1010 Wien, Österreich, Wien, Wien 1010, AUT"
201,1829660000000.0,Adria Boutique Hotel,GB,London,51.4933372,-0.1788931,"93 Queen's Gate, London, SW7 5AB, United Kingdom, London, England SW7 5AB, GBR"
202,1838250000000.0,Pullman Paris Centre Bercy,FR,Paris,48.8315204,2.3870797,"3 Rue de Libourne, 75012 Paris, France, Paris, Île-de-France 75012, FRA"
203,1846840000000.0,Holiday Inn London Wembley,GB,London,51.5590955,-0.284704,"10 Empire Way, Wembley, HA9 0QX, United Kingdom, Wembley, England HA9 0QX, GBR"
204,1855430000000.0,Crowne Plaza Barcelona Fira Center,ES,Barcelona,41.3725246,2.1540788,"Avinguda de Rius i Taulet, 3, 08004 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08004, ESP"
205,1864020000000.0,Hotel Les Bulles De Paris,FR,Paris,48.849147,2.3471935,"32 Rue des Écoles, 75005 Paris, France, Paris, Île-de-France 75005, FRA"
206,1864020000000.0,Hilton London Canary Wharf,GB,London,51.5007324,-0.01655,"3 Marsh Wall, London, E14 9, United Kingdom, London, England E14 9, GBR"
207,1872610000000.0,Radisson Blu Edwardian Kenilworth,GB,London,51.5179725,-0.1280495,"Bloomsbury Street, London, WC1B 3, United Kingdom, London, England WC1B 3, GBR"
208,1881200000000.0,Hotel du Petit Moulin,FR,Paris,48.8615843,2.3620652,"31 Rue de Poitou, 75003 Paris, France, Paris, Île-de-France 75003, FRA"
209,1881200000000.0,Park Plaza Victoria Amsterdam,NL,Amsterdam,52.377278,4.897818,"Prins Hendrikkade 46, 1012 TM Amsterdam, Nederland, Amsterdam, Noord-Holland 1012 TM, NLD"
210,1881200000000.0,Exe Laietana Palace,ES,Barcelona,41.3833541,2.1794038,"Via Laietana, 17, 08003 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08003, ESP"
211,1889790000000.0,Sofitel London St James,GB,London,51.5076044,-0.132266,"8 Royal Opera Arcade, London, SW1Y 4, United Kingdom, London, England SW1Y 4, GBR"
212,1898380000000.0,Mercure Milano Regency,IT,Milan,45.4897688,9.1549451,"Via Giuseppe Edoardo Arimondi, 12, 20155 Milano MI, Italia, Milano, Lombardia 20155, ITA"
213,1915560000000.0,U232 Hotel,ES,Barcelona,41.3895237,2.1490307,"Carrer del Comte d'Urgell, 230, 08036 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08036, ESP"
214,1924150000000.0,Hotel Cambon,FR,Paris,48.866435,2.3251076,"3 Rue de Hanovre, 75001 Paris, France, Paris, Île-de-France 75001, FRA"
215,1924150000000.0,De L Europe Amsterdam,NL,Amsterdam,52.3678779,4.8948936,"Nieuwe Doelenstraat 12, 1012 CP Amsterdam, Nederland, Amsterdam, Noord-Holland 1012 CP, NLD"
216,1932740000000.0,Four Points Sheraton Milan Center,IT,Milan,45.4851889,9.198015,"Via Emilio Cornalia, 20124 Milano MI, Italia, Milano, Lombardia 20124, ITA"
217,1941330000000.0,Best Western Premier Op ra Li ge,FR,Paris,48.8795947,2.3280695,"9 Rue de Liège, 75009 Paris, France, Paris, Île-de-France 75009, FRA"
218,1949920000000.0,Hotel Le petit Paris,FR,Paris,48.8452789,2.342295,"214 Rue Saint-Jacques, 75005 Paris, France, Paris, Île-de-France 75005, FRA"
219,1958510000000.0,Gartenhotel Altmannsdorf Hotel 1,AT,Vienna,48.1640345,16.3216061,"Hoffingergasse 26-28, 1120 Wien, Österreich, Wien, Wien 1120, AUT"
220,1967100000000.0,Kingsway Hall Hotel,GB,London,51.5158643,-0.1200625,"66 Great Queen Street, London, WC2B 5BX, United Kingdom, London, England WC2B 5BX, GBR"
221,1975680000000.0,1K Hotel,FR,Paris,48.8639318,2.3658744,"13 Boulevard du Temple, 75003 Paris, France, Paris, Île-de-France 75003, FRA"
223,1984270000000.0,L Edmond H tel,FR,Paris,48.8823111,2.3132374,"22 Avenue de Villiers, 75017 Paris, France, Paris, Île-de-France 75017, FRA"
224,1984270000000.0,Grand Visconti Palace,IT,Milan,45.4471408,9.2070051,"Viale Isonzo, 14A, 20135 Milano MI, Italia, Milano, Lombardia 20135, ITA"
225,1992860000000.0,Alma Barcelona GL,ES,Barcelona,41.3945074,2.1632659,"Carrer de Mallorca, 269, 08008 Barcelona (Barcelona), Espanya, Barcelona, Catalunya 08008, ESP"
